File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
607057,07/27/2006,2006,7,300 BLOCK,N Beringer Cir,,Municipal Waste,City Abated,,Not Available,false,0,"300 N Beringer Cir
Urbana, IL
(40.11424, -88.16782)"
1209043,09/18/2012,2012,9,1300 BLOCK,S Abercorn St,09/18/2012,Weeds/Grass,City Abated,09/26/2012,Not Available,false,0,"1300 S Abercorn St
Urbana, IL
(40.10276, -88.17269)"
306054,06/17/2003,2003,6,1100 BLOCK,N Geraldine Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 N Geraldine Av
Urbana, IL
(40.12355, -88.20282)"
808016,08/06/2008,2008,8,800 BLOCK,Hawthorne Dr,08/07/2008,Weeds/Grass,Owner Abated,08/15/2008,Not Available,false,0,"800 Hawthorne Dr
Urbana, IL
(40.10246, -88.19791)"
1209036,09/13/2012,2012,9,600 BLOCK,E High St,09/14/2012,Municipal Waste,Owner Abated,09/22/2012,Not Available,false,0,"600 E High St
Urbana, IL
(40.11001, -88.20117)"
612026,12/20/2006,2006,12,400 BLOCK,S Glover Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"400 S Glover Av
Urbana, IL
(40.11005, -88.19336)"
603009,03/09/2006,2006,3,1200 BLOCK,W Eureka St,,Municipal Waste,City Abated,,Not Available,false,0,"1200 W Eureka St
Urbana, IL
(40.12559, -88.22442)"
806010,06/03/2008,2008,6,900 BLOCK,E Washington St,06/04/2008,Weeds/Grass,Owner Abated,06/12/2008,Not Available,false,0,"900 E Washington St
Urbana, IL
(40.10567, -88.1915)"
906039,06/15/2009,2009,6,800 BLOCK,E California Av,06/16/2009,Weeds/Grass,City Abated,06/24/2009,Not Available,false,0,"800 E California Av
Urbana, IL
(40.10854, -88.19889)"
1505063,05/15/2015,2015,5,1600 BLOCK,E Ivanhow Way,05/15/2015,Weeds/Grass,Owner Abated,05/23/2015,Not Available,false,0,"1600 E Ivanhow Way
Urbana, IL
(40.10221, -88.18862)"
18-000590,05/30/2018,2018,5,1200 Block,W Bradley Avenue,05/30/2018,Weeds/Grass,Voluntarily Complied,06/07/2018,Phone,false,0,"1200 W Bradley Avenue
Urbana, IL
(40.1274, -88.22444)"
1205116,05/29/2012,2012,5,1200 BLOCK,W Dublin St,05/30/2012,Weeds/Grass,Owner Abated,06/07/2012,Not Available,false,0,"1200 W Dublin St
Urbana, IL
(40.12126, -88.22432)"
1705072,05/22/2017,2017,5,3200 BLOCK,Fawn Hill Ct,05/23/2017,Weeds/Grass,Owner Abated,05/31/2017,Not Available,false,0,"3200 Fawn Hill Ct
Urbana, IL
(40.07775, -88.18969)"
1405082,05/28/2014,2014,5,2300 BLOCK,E Rainbow View Av,05/28/2014,Weeds/Grass,Owner Abated,06/05/2014,Not Available,false,0,"2300 E Rainbow View Av
Urbana, IL
(40.10401, -88.17677)"
1006081,06/11/2010,2010,6,1900 BLOCK,S Kathryn St,06/14/2010,Weeds/Grass,Owner Abated,06/22/2010,Not Available,false,0,"1900 S Kathryn St
Urbana, IL
(40.0942, -88.18189)"
19-001604,07/31/2019,2019,7,1600 Block,South Hillcrest Street,07/31/2019,Weeds/Grass,Voluntarily Complied,08/08/2019,Phone,false,0,"1600 South Hillcrest Street
Urbana, IL
(40.09941, -88.20362)"
23-003022,10/09/2023,2023,10,900 Block,South Philo Road,10/09/2023,Weeds/Grass,Voluntarily Complied,10/17/2023,Phone,false,0,"900 South Philo Road
Urbana, IL
(40.10558, -88.19444)"
709045,09/12/2007,2007,9,100 BLOCK,S Poplar St,09/13/2007,Weeds/Grass,Owner Abated,09/21/2007,Not Available,false,0,"100 S Poplar St
Urbana, IL
(40.11283, -88.19451)"
1407005,07/07/2014,2014,7,800 BLOCK,W Sunset Dr,07/07/2014,Weeds/Grass,City Abated,07/15/2014,Not Available,false,0,"800 W Sunset Dr
Urbana, IL
(40.12369, -88.21718)"
18-000612,06/06/2018,2018,6,1500 Block,S Lincolnwood Drive,06/06/2018,Municipal Waste,Voluntarily Complied,06/14/2018,Phone,false,0,"1500 S Lincolnwood Drive
Urbana, IL
(40.10008, -88.18548)"
20-000765,05/14/2020,2020,5,1100 Block,East Delaware Avenue,05/14/2020,Municipal Waste,City Abated,07/07/2020,Phone,false,530,"1100 East Delaware Avenue
Urbana, IL
(40.09922, -88.19537)"
303039,03/19/2003,2003,3,1000 BLOCK,E Michigan Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1000 E Michigan Av
Urbana, IL
(40.10163, -88.19586)"
907036,07/21/2009,2009,7,1300 BLOCK,S Cottage Grove Av,07/22/2009,Weeds/Grass,Owner Abated,07/30/2009,Not Available,false,0,"1300 S Cottage Grove Av
Urbana, IL
(40.1018, -88.19557)"
1403013,03/24/2014,2014,3,1100 BLOCK,N Gregory St,03/24/2014,Municipal Waste,Owner Abated,04/01/2014,Not Available,false,0,"1100 N Gregory St
Urbana, IL
(40.12255, -88.22157)"
708072,08/21/2007,2007,8,800 BLOCK,W Nevada St,08/22/2007,Municipal Waste,Owner Abated,08/30/2007,Not Available,false,0,"800 W Nevada St
Urbana, IL
(40.1065, -88.21784)"
1306029,06/18/2013,2013,6,300 BLOCK,E Thompson St,06/18/2013,Weeds/Grass,Owner Abated,06/26/2013,Not Available,false,0,"300 E Thompson St
Urbana, IL
(40.12594, -88.20518)"
508086,08/23/2005,2005,8,2200 BLOCK,Easy St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"2200 Easy St
Urbana, IL
(40.1049, -88.17951)"
409082,09/30/2004,2004,9,1200 BLOCK,E Michigan Ave,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 E Michigan Ave
Urbana, IL
(40.10146, -88.19324)"
508019,08/03/2005,2005,8,1100 BLOCK,S Austin Dr,,Weeds/Grass,City Abated,,Not Available,false,0,"1100 S Austin Dr
Urbana, IL
(40.10368, -88.18752)"
23-001503,05/23/2023,2023,5,1300 Block,East Stout Drive,05/23/2023,Weeds/Grass,Voluntarily Complied,05/31/2023,Phone,false,0,"1300 East Stout Drive
Urbana, IL
(40.11057, -88.19319)"
18-000895,08/21/2018,2018,8,1100 Block,S Lincoln Avenue,08/21/2018,Municipal Waste,Voluntarily Complied,09/06/2018,Phone,false,0,"1100 S Lincoln Avenue
Urbana, IL
(40.10365, -88.2192)"
1007044,07/21/2010,2010,7,400 BLOCK,W High St,07/22/2010,Municipal Waste,Owner Abated,07/30/2010,Not Available,false,0,"400 W High St
Urbana, IL
(40.10989, -88.21193)"
23-002517,08/28/2023,2023,8,700 Block,West Illinois Street,08/28/2023,Weeds/Grass,Voluntarily Complied,09/05/2023,Phone,false,0,"700 West Illinois Street
Urbana, IL
(40.10914, -88.21629)"
1204016,04/11/2012,2012,4,100 BLOCK,W Florida Av,04/12/2012,Weeds/Grass,Owner Abated,04/20/2012,Not Available,false,0,"100 W Florida Av
Urbana, IL
(40.09831, -88.2073)"
712002,12/05/2007,2007,12,1500 BLOCK,Montgomery St,12/06/2007,Municipal Waste,Owner Abated,12/14/2007,Not Available,false,0,"1500 Montgomery St
Urbana, IL
(40.10077, -88.17379)"
1205104,05/24/2012,2012,5,1600 BLOCK,Ivanhoe Way,05/24/2012,Weeds/Grass,City Abated,06/01/2012,Not Available,false,0,"1600 Ivanhoe Way
Urbana, IL
(40.10221, -88.18862)"
1305038,05/08/2013,2013,5,300 BLOCK,E Main St,05/08/2013,Weeds/Grass,Owner Abated,05/16/2013,Not Available,false,0,"300 E Main St
Urbana, IL
(40.11246, -88.20482)"
22-003731,12/21/2022,2022,12,1300 Block,West Beech Street,12/21/2022,Municipal Waste,Voluntarily Complied,01/10/2023,Phone,false,0,"1300 West Beech Street
Urbana, IL
(40.12217, -88.22593)"
607019,07/17/2006,2006,7,1200 BLOCK,S Vine St,,Municipal Waste,City Abated,,Not Available,false,0,"1200 S Vine St
Urbana, IL
(40.10278, -88.20498)"
21-000949,05/11/2021,2021,5,2300 Block,East Washington Street,05/11/2021,Weeds/Grass,Voluntarily Complied,06/01/2021,Phone,false,0,"2300 East Washington Street
Urbana, IL
(40.10573, -88.17814)"
1505070,05/18/2015,2015,5,800 BLOCK,E California Av,05/18/2015,Weeds/Grass,Owner Abated,05/26/2015,Not Available,false,0,"800 E California Av
Urbana, IL
(40.10854, -88.19889)"
1002005,02/03/2010,2010,2,1500 BLOCK,S Montgomery St,02/04/2010,Municipal Waste,Owner Abated,02/12/2010,Not Available,false,0,"1500 S Montgomery St
Urbana, IL
(40.09996, -88.17378)"
908086,08/28/2009,2009,8,1000 BLOCK,N Berkley Av,08/28/2009,Weeds/Grass,Owner Abated,08/28/2009,Not Available,false,0,"1000 N Berkley Av
Urbana, IL
(40.12208, -88.20645)"
21-000899,05/06/2021,2021,5,700 Block,South Race Street,05/06/2021,Weeds/Grass,Voluntarily Complied,05/19/2021,Phone,false,0,"700 South Race Street
Urbana, IL
(40.10747, -88.20883)"
1506011,06/04/2015,2015,6,700 BLOCK,W Oregon St,06/04/2015,Weeds/Grass,City Abated,06/12/2015,Not Available,false,0,"700 W Oregon St
Urbana, IL
(40.10746, -88.2162)"
609002,09/01/2006,2006,9,800 BLOCK,Lynn St,,Municipal Waste,City Abated,,Not Available,false,0,"800 Lynn St
Urbana, IL
(40.10595, -88.19789)"
705104,05/24/2007,2007,5,600 BLOCK,E Main St,05/24/2007,Weeds/Grass,Owner Abated,06/01/2007,Not Available,false,0,"600 E Main St
Urbana, IL
(40.11286, -88.20171)"
1406006,06/03/2014,2014,6,700 BLOCK,E Main St,06/03/2014,Weeds/Grass,Owner Abated,06/11/2014,Not Available,false,0,"700 E Main St
Urbana, IL
(40.11289, -88.20131)"
704023,04/19/2007,2007,4,1500 BLOCK,N Romine St,04/20/2007,Municipal Waste,City Abated,04/28/2007,Not Available,false,0,"1500 N Romine St
Urbana, IL
(40.12644, -88.22763)"
20-001081,06/18/2020,2020,6,1000 Block,North Broadway Avenue,06/18/2020,Municipal Waste,Voluntarily Complied,06/26/2020,Email,false,0,"1000 North Broadway Avenue
Urbana, IL
(40.12209, -88.20763)"
22-002196,07/07/2022,2022,7,300 Block,West Locust Street,07/07/2022,Municipal Waste,Voluntarily Complied,07/15/2022,Phone,false,0,"300 West Locust Street
Urbana, IL
(40.11353, -88.21033)"
1006142,06/28/2010,2010,6,1400 BLOCK,S Wiley Dr,06/29/2010,Weeds/Grass,City Abated,07/07/2010,Not Available,false,0,"1400 S Wiley Dr
Urbana, IL
(40.10057, -88.19777)"
407024,07/13/2004,2004,7,900 BLOCK,W Clark St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"900 W Clark St
Urbana, IL
(40.1155, -88.21955)"
1205094,05/17/2012,2012,5,1400 BLOCK,W Beslin St,05/17/2012,Weeds/Grass,City Abated,05/25/2012,Not Available,false,0,"1400 W Beslin St
Urbana, IL
(40.12028, -88.22731)"
21-002494,10/21/2021,2021,10,400 Block,South Grove Street,10/21/2021,Weeds/Grass,Voluntarily Complied,10/29/2021,Phone,false,0,"400 South Grove Street
Urbana, IL
(40.10987, -88.20135)"
605064,05/10/2006,2006,5,600 BLOCK,E Washington St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"600 E Washington St
Urbana, IL
(40.10566, -88.20108)"
908060,08/21/2009,2009,8,1100 BLOCK,S Austin Dr,08/21/2009,Weeds/Grass,Owner Abated,08/29/2009,Not Available,false,0,"1100 S Austin Dr
Urbana, IL
(40.10368, -88.18752)"
1709025,09/13/2017,2017,9,800 BLOCK,N Lincoln Av,09/13/2017,Weeds/Grass,Owner Abated,09/21/2017,Not Available,false,0,"800 N Lincoln Av
Urbana, IL
(40.11934, -88.21943)"
302015,02/06/2003,2003,2,800 BLOCK,S Lynn St,,Municipal Waste,City Abated,,Not Available,false,0,"800 S Lynn St
Urbana, IL
(40.10595, -88.19789)"
20-000804,05/18/2020,2020,5,500 Block,East Florida Avenue,05/18/2020,Municipal Waste,City Abated,07/07/2020,Phone,false,630,"500 East Florida Avenue
Urbana, IL
(40.09835, -88.20215)"
1305110,05/16/2013,2013,5,2300 BLOCK,E Lanternhill Dr,05/16/2013,Weeds/Grass,Owner Abated,05/24/2013,Not Available,false,0,"2300 E Lanternhill Dr
Urbana, IL
(40.10477, -88.17795)"
607027,07/18/2006,2006,7,900 BLOCK,N Gregory St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"900 N Gregory St
Urbana, IL
(40.12019, -88.22108)"
710042,10/12/2007,2007,10,1300 BLOCK,E Florida Av,10/12/2007,Weeds/Grass,Owner Abated,10/20/2007,Not Available,false,0,"1300 E Florida Av
Urbana, IL
(40.09838, -88.19332)"
1210034,10/29/2012,2012,10,700 BLOCK,E Colorado Av,10/30/2012,Municipal Waste,Owner Abated,11/07/2012,Not Available,false,0,"700 E Colorado Av
Urbana, IL
(40.09471, -88.19844)"
23-003060,10/11/2023,2023,10,1100 Block,South Austin Drive,10/11/2023,Municipal Waste,Voluntarily Complied,10/19/2023,Phone,false,0,"1100 South Austin Drive
Urbana, IL
(40.10368, -88.18752)"
21-001210,06/03/2021,2021,6,700 Block,East Oregon Street,06/04/2021,Weeds/Grass,Voluntarily Complied,01/04/2022,Phone,false,0,"700 East Oregon Street
Urbana, IL
(40.10771, -88.20006)"
1204030,04/17/2012,2012,4,800 BLOCK,S Urbana Av,04/17/2012,Weeds/Grass,Owner Abated,04/25/2012,Not Available,false,0,"800 S Urbana Av
Urbana, IL
(40.10591, -88.20361)"
23-001153,05/09/2023,2023,5,800 Block,West Ohio Street,05/09/2023,Weeds/Grass,Voluntarily Complied,05/17/2023,Phone,false,0,"800 West Ohio Street
Urbana, IL
(40.10371, -88.2178)"
1109052,09/20/2011,2011,9,0 BLOCK,Weaver PL,09/21/2011,Weeds/Grass,Owner Abated,09/29/2011,Not Available,false,0,
304001,04/02/2003,2003,4,1300 BLOCK,E Fairlawn Dr,,Weeds/Grass,City Abated,,Not Available,false,0,"1300 E Fairlawn Dr
Urbana, IL
(40.10243, -88.19332)"
705058,05/11/2007,2007,5,1000 BLOCK,W Fairview Av,05/11/2007,Weeds/Grass,Owner Abated,05/19/2007,Not Available,false,0,"1000 W Fairview Av
Urbana, IL
(40.12005, -88.22126)"
22-001665,06/06/2022,2022,6,1300 Block,East Eastern Drive,,,,,,false,0,"1300 East Eastern Drive
Urbana, IL
(40.10373, -88.19341)"
1406008,06/03/2014,2014,6,100 BLOCK,N Webber St,06/03/2014,Weeds/Grass,Owner Abated,06/11/2014,Not Available,false,0,"100 N Webber St
Urbana, IL
(40.11312, -88.19921)"
304034,04/28/2003,2003,4,700 BLOCK,S Anderson,,Weeds/Grass,Owner Abated,,Not Available,false,0,"700 S Anderson
Urbana, IL
(40.10757, -88.20024)"
1207049,07/25/2012,2012,7,3100 BLOCK,B Chatham Dr,07/25/2012,Weeds/Grass,Owner Abated,08/02/2012,Not Available,false,0,"3100 B Chatham Dr
Urbana, IL
(40.07811, -88.1862)"
1208003,08/01/2012,2012,8,700 BLOCK,W High St,08/02/2012,Municipal Waste,Owner Abated,08/10/2012,Not Available,false,0,"700 W High St
Urbana, IL
(40.10983, -88.21617)"
20-000342,03/02/2020,2020,3,1200 Block,West Hill Street,03/02/2020,Municipal Waste,Voluntarily Complied,03/10/2020,Phone,false,0,"1200 West Hill Street
Urbana, IL
(40.11934, -88.22425)"
21-000490,03/06/2021,2021,3,600 Block,East California Avenue,,,,,Internet,true,0,"600 East California Avenue
Urbana, IL
(40.10853, -88.20114)"
302026,02/12/2003,2003,2,600 BLOCK,S Busey,,Municipal Waste,Owner Abated,,Not Available,false,0,"600 S Busey
Urbana, IL
(40.10814, -88.21769)"
24-002187,07/17/2024,2024,7,900 Block,East Florida Avenue,07/17/2024,Weeds/Grass,Voluntarily Complied,07/25/2024,Phone,false,0,"900 East Florida Avenue
Urbana, IL
(40.09837, -88.19769)"
807002,07/01/2008,2008,7,1100 BLOCK,E Wasington St,07/02/2008,Weeds/Grass,Owner Abated,07/10/2008,Not Available,false,0,"1100 E Wasington St
Urbana, IL
(40.10569, -88.19548)"
24-001339,05/13/2024,2024,5,1400 Block,East Mumford Drive,05/13/2024,Weeds/Grass,Voluntarily Complied,05/21/2024,Phone,false,0,"1400 East Mumford Drive
Urbana, IL
(40.09069, -88.19153)"
411016,11/18/2004,2004,11,1200 BLOCK,E Michigan Ave,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 E Michigan Ave
Urbana, IL
(40.10146, -88.19324)"
24-002320,07/29/2024,2024,7,1700 Block,East Florida Avenue,07/29/2024,Weeds/Grass,Voluntarily Complied,08/06/2024,Phone,false,0,"1700 East Florida Avenue
Urbana, IL
(40.09829, -88.18634)"
19-002256,10/21/2019,2019,10,400 Block,South Vine Street,,Weeds/Grass,Void,10/21/2019,Phone,false,0,"400 South Vine Street
Urbana, IL
(40.10993, -88.20428)"
19-002546,12/13/2019,2019,12,1300 Block,South Montgomery Street,12/13/2019,Municipal Waste,Voluntarily Complied,01/21/2020,Phone,false,0,"1300 South Montgomery Street
Urbana, IL
(40.10231, -88.17381)"
905013,05/04/2009,2009,5,1400 BLOCK,N Lincoln Av,05/05/2009,Weeds/Grass,City Abated,05/13/2009,Not Available,false,0,"1400 N Lincoln Av
Urbana, IL
(40.12494, -88.21947)"
1502013,02/19/2015,2015,2,1300 BLOCK,S Vine St,02/20/2015,Municipal Waste,Owner Abated,02/28/2015,Not Available,false,0,"1300 S Vine St
Urbana, IL
(40.102, -88.20496)"
304043,04/29/2003,2003,4,1100 BLOCK,N Geraldine Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1100 N Geraldine Av
Urbana, IL
(40.12355, -88.20282)"
19-000830,05/09/2019,2019,5,1200 Block,North Busey Avenue,,Weeds/Grass,Voluntarily Complied,05/17/2019,Phone,false,0,"1200 North Busey Avenue
Urbana, IL
(40.12345, -88.217)"
18-000369,04/04/2018,2018,4,800 Block,E Park Street,04/04/2018,Municipal Waste,Voluntarily Complied,04/20/2018,,false,0,"800 E Park Street
Urbana, IL
(40.11724, -88.19881)"
611001,11/01/2006,2006,11,1200 BLOCK,W Eads St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.12313, -88.22435)"
906042,06/16/2009,2009,6,1200 BLOCK,N Division Av,06/17/2009,Weeds/Grass,Owner Abated,06/25/2009,Not Available,false,0,"1200 N Division Av
Urbana, IL
(40.12393, -88.20533)"
1108029,08/11/2011,2011,8,1600 BLOCK,S Rutledge Dr,08/12/2011,Weeds/Grass,Owner Abated,08/20/2011,Not Available,false,0,"1600 S Rutledge Dr
Urbana, IL
(40.09906, -88.18228)"
18-000759,07/16/2018,2018,7,100 Block,S Glover Avenue,07/16/2018,Weeds/Grass,City Abated,10/31/2018,Phone,false,1168,"100 S Glover Avenue
Urbana, IL
(40.11283, -88.19342)"
18-000776,07/19/2018,2018,7,700 Block,W Washington Street,07/19/2018,Weeds/Grass,Voluntarily Complied,07/30/2018,Phone,false,0,"700 W Washington Street
Urbana, IL
(40.10555, -88.21617)"
905077,05/21/2009,2009,5,1500 BLOCK,N Goodwin Av,05/21/2009,Weeds/Grass,Owner Abated,05/29/2009,Not Available,false,0,"1500 N Goodwin Av
Urbana, IL
(40.12649, -88.22425)"
22-002669,08/18/2022,2022,8,600 Block,West High Street,08/18/2022,Municipal Waste,Voluntarily Complied,08/26/2022,Phone,false,0,"600 West High Street
Urbana, IL
(40.10985, -88.21471)"
19-001887,09/03/2019,2019,9,800 Block,"South ""Cottage Grove"" Avenue",09/03/2019,Weeds/Grass,Voluntarily Complied,09/10/2019,Phone,false,0,"800 South Cottage Grove Avenue
Urbana, IL
(40.10693, -88.19567)"
1303004,03/12/2013,2013,3,1100 BLOCK,S Race St,03/12/2013,Municipal Waste,Owner Abated,03/20/2013,Not Available,false,0,"1100 S Race St
Urbana, IL
(40.10272, -88.20963)"
20-001244,07/08/2020,2020,7,300 Block,East Elm Street,07/08/2020,Weeds/Grass,Voluntarily Complied,07/16/2020,Phone,false,0,"300 East Elm Street
Urbana, IL
(40.11171, -88.20481)"
1709015,09/11/2017,2017,9,500 BLOCK,S Glover Av,09/11/2017,Weeds/Grass,Owner Abated,09/19/2017,Not Available,false,0,"500 S Glover Av
Urbana, IL
(40.10929, -88.19334)"
411019,11/22/2004,2004,11,900 BLOCK,S Lincoln Ave,,Municipal Waste,City Abated,,Not Available,false,0,"900 S Lincoln Ave
Urbana, IL
(40.10539, -88.21924)"
19-001785,08/21/2019,2019,8,500 Block,West High Street,08/21/2019,Weeds/Grass,Voluntarily Complied,09/10/2019,Phone,false,0,"500 West High Street
Urbana, IL
(40.10987, -88.21333)"
1505038,05/11/2015,2015,5,900 BLOCK,E Park St,05/11/2015,Weeds/Grass,Owner Abated,05/19/2015,Not Available,false,0,"900 E Park St
Urbana, IL
(40.11723, -88.19716)"
606060,06/22/2006,2006,6,1100 BLOCK,N Harvey St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 N Harvey St
Urbana, IL
(40.1224, -88.22246)"
812018,12/16/2008,2008,12,100 BLOCK,S Cottage Grove Av,12/16/2008,Municipal Waste,Owner Abated,12/24/2008,Not Available,false,0,"100 S Cottage Grove Av
Urbana, IL
(40.11283, -88.19577)"
705077,05/17/2007,2007,5,900 BLOCK,N Linview Av,05/17/2007,Weeds/Grass,Owner Abated,05/25/2007,Not Available,false,0,"900 N Linview Av
Urbana, IL
(40.12022, -88.21814)"
1512005,12/07/2015,2015,12,1300 BLOCK,E Silver St,12/07/2015,Municipal Waste,Owner Abated,12/15/2015,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.09149, -88.19285)"
1207006,07/03/2012,2012,7,600 BLOCK,B S Glover Av,07/03/2012,Municipal Waste,Owner Abated,07/11/2012,Not Available,false,0,"600 B S Glover Av
Urbana, IL
(40.10804, -88.19331)"
1412003,12/09/2014,2014,12,1000 BLOCK,N Goodwin Av,12/09/2014,Municipal Waste,Owner Abated,12/17/2014,Not Available,false,0,"1000 N Goodwin Av
Urbana, IL
(40.1214, -88.22414)"
809003,09/08/2008,2008,9,800 BLOCK,W Ohio St,09/08/2008,Municipal Waste,City Abated,09/10/2008,Not Available,false,0,"800 W Ohio St
Urbana, IL
(40.10371, -88.2178)"
601038,01/26/2006,2006,1,1400 BLOCK,S Lincoln Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1400 S Lincoln Av
Urbana, IL
(40.10051, -88.21913)"
19-002324,10/30/2019,2019,10,1000 Block,West Clark Street,10/30/2019,Municipal Waste,Voluntarily Complied,11/07/2019,Phone,false,0,"1000 West Clark Street
Urbana, IL
(40.11549, -88.22089)"
606081,06/28/2006,2006,6,400 BLOCK,E Illinois St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"400 E Illinois St
Urbana, IL
(40.10932, -88.2035)"
805003,05/05/2008,2008,5,600 BLOCK,S Poplar St,05/06/2008,Weeds/Grass,Owner Abated,05/14/2008,Not Available,false,0,"600 S Poplar St
Urbana, IL
(40.10803, -88.19447)"
708038,08/13/2007,2007,8,700 BLOCK,S Wabash Av,08/14/2007,Weeds/Grass,Owner Abated,08/22/2007,Not Available,false,0,"700 S Wabash Av
Urbana, IL
(40.10759, -88.19665)"
607007,07/11/2006,2006,7,900 BLOCK,W Stoughton St,,Weeds/Grass,Invalid,,Not Available,false,0,"900 W Stoughton St
Urbana, IL
(40.11361, -88.21956)"
21-002333,10/04/2021,2021,10,1200 Block,East Michigan Avenue,10/04/2021,Weeds/Grass,Voluntarily Complied,05/10/2022,Phone,false,0,"1200 East Michigan Avenue
Urbana, IL
(40.10146, -88.19324)"
24-001023,04/22/2024,2024,4,1200 Block,East Main Street,04/22/2024,Weeds/Grass,City Abated,06/05/2024,Phone,false,274.5,"1200 East Main Street
Urbana, IL
(40.11297, -88.19433)"
21-001751,08/04/2021,2021,8,700 Block,West Washington Street,08/04/2021,Municipal Waste,Voluntarily Complied,08/12/2021,Phone,false,0,"700 West Washington Street
Urbana, IL
(40.10555, -88.21617)"
22-002289,07/18/2022,2022,7,700 Block,East Park Street,07/18/2022,Municipal Waste,Voluntarily Complied,07/26/2022,Phone,false,0,"700 East Park Street
Urbana, IL
(40.11725, -88.20048)"
18-000570,05/25/2018,2018,5,3200 Block,"W ""Fawn Hill"" Court",05/25/2018,Weeds/Grass,Voluntarily Complied,06/04/2018,Email,false,0,"3200 W Fawn Hill Court
Urbana, IL
(40.07775, -88.18969)"
18-036048,09/25/2018,2018,9,1400 Block,East Michigan Avenue,09/25/2018,Municipal Waste,Voluntarily Complied,10/11/2018,Phone,false,0,"1400 East Michigan Avenue
Urbana, IL
(40.10166, -88.19104)"
907008,07/07/2009,2009,7,1500 BLOCK,S Montgomery St,07/08/2009,Weeds/Grass,City Abated,07/16/2009,Not Available,false,0,"1500 S Montgomery St
Urbana, IL
(40.09996, -88.17378)"
19-002299,10/28/2019,2019,10,1300 Block,East Silver Street,,Weeds/Grass,City Abated,12/03/2019,City Staff Reported,false,1098.32,"1300 East Silver Street
Urbana, IL
(40.09149, -88.19285)"
23-001354,05/16/2023,2023,5,1600 Block,East Hunter Street,05/16/2023,Weeds/Grass,Voluntarily Complied,08/30/2023,Phone,false,0,"1600 East Hunter Street
Urbana, IL
(40.10379, -88.18849)"
905052,05/18/2009,2009,5,600 BLOCK,W Ohio St,05/19/2009,Municipal Waste,Owner Abated,05/27/2009,Not Available,false,0,"600 W Ohio St
Urbana, IL
(40.10373, -88.21458)"
22-003383,10/26/2022,2022,10,2300 Block,East Main Street,10/26/2022,Weeds/Grass,City Abated,05/08/2023,Phone,false,0,"2300 East Main Street
Urbana, IL
(40.11299, -88.17826)"
1105106,05/23/2011,2011,5,900 BLOCK,N Lincoln Av,05/24/2011,Weeds/Grass,Owner Abated,06/01/2011,Not Available,false,0,"900 N Lincoln Av
Urbana, IL
(40.12019, -88.21945)"
24-001409,05/15/2024,2024,5,1300 Block,South Montgomery Street,05/15/2024,Weeds/Grass,Voluntarily Complied,05/23/2024,Phone,false,0,"1300 South Montgomery Street
Urbana, IL
(40.10231, -88.17381)"
403014,03/10/2004,2004,3,1400 BLOCK,E Briarcliff Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"1400 E Briarcliff Dr
Urbana, IL
(40.10005, -88.19109)"
1208026,08/09/2012,2012,8,100 BLOCK,N Coler Av,08/09/2012,Municipal Waste,Owner Abated,08/17/2012,Not Available,false,0,"100 N Coler Av
Urbana, IL
(40.11235, -88.21607)"
908048,08/19/2009,2009,8,600 BLOCK,E Green St,08/20/2009,Municipal Waste,City Abated,08/28/2009,Not Available,false,0,"600 E Green St
Urbana, IL
(40.11085, -88.2012)"
1303009,03/18/2013,2013,3,700 BLOCK,W High St,03/18/2013,Municipal Waste,Owner Abated,03/26/2013,Not Available,false,0,"700 W High St
Urbana, IL
(40.10983, -88.21617)"
912005,12/15/2009,2009,12,1800 BLOCK,S Race St,12/15/2009,Municipal Waste,Owner Abated,12/23/2009,Not Available,false,0,"1800 S Race St
Urbana, IL
(40.09632, -88.20958)"
512007,12/16/2005,2005,12,800 BLOCK,W Oregon St,,Municipal Waste,City Abated,,Not Available,false,0,"800 W Oregon St
Urbana, IL
(40.10743, -88.21786)"
1708051,08/17/2017,2017,8,1400 BLOCK,W Beslin St,08/17/2017,Weeds/Grass,City Abated,08/17/2017,Not Available,false,0,"1400 W Beslin St
Urbana, IL
(40.12028, -88.22731)"
22-000191,02/01/2022,2022,2,800 Block,West Stoughton Street,02/01/2022,Municipal Waste,Voluntarily Complied,02/09/2022,Phone,false,0,"800 West Stoughton Street
Urbana, IL
(40.11341, -88.21787)"
